"Story","Title","Result","Date","Stability","Duration (s)"
"Authorization","Login functionallity","FAILURE","2022-09-28T12:42:30.968983+07:00[Asia/Jakarta]","0.0","9.74"
"resources-user","Get list of USERS within page","FAILURE","2022-09-28T12:42:45.450919+07:00[Asia/Jakarta]","0.0","3.23"
"resources-user","Post new USERS","FAILURE","2022-09-28T12:42:50.126946+07:00[Asia/Jakarta]","0.0","3.29"
"resources-user","Put update USERS attributes","FAILURE","2022-09-28T12:42:53.424204+07:00[Asia/Jakarta]","0.0","3.26"
"resources-user","Delete existing USERS","FAILURE","2022-09-28T12:42:56.693673+07:00[Asia/Jakarta]","0.0","3.27"
