"Story","Title","Result","Date","Stability","Duration (s)"
"resources-user","Get list of all USERS","SUCCESS","2022-09-28T12:42:45.108425+07:00[Asia/Jakarta]","0.0","0.34"
"resources-user","Get list of USERS within page","FAILURE","2022-09-28T12:42:45.450919+07:00[Asia/Jakarta]","0.0","3.23"
"resources-user","Get single user data with id","SUCCESS","2022-09-28T12:42:48.689705+07:00[Asia/Jakarta]","0.0","1.43"
"resources-user","Post new USERS","FAILURE","2022-09-28T12:42:50.126946+07:00[Asia/Jakarta]","0.0","3.29"
"resources-user","Put update USERS attributes","FAILURE","2022-09-28T12:42:53.424204+07:00[Asia/Jakarta]","0.0","3.26"
"resources-user","Delete existing USERS","FAILURE","2022-09-28T12:42:56.693673+07:00[Asia/Jakarta]","0.0","3.27"
